,city,hml,target
2026,Detroit,High,No
2027,Yonkers,High,No
2028,Rockford,Medium,No
2029,Turlock,Low,Yes
2030,Boynton Beach,High,No
2031,Charleston,High,No
2032,Wilkes-Barre,High,No
2033,Wheaton-Glenmont,High,No
2034,NA,Low,Yes
2035,NA,Low,No
2036,Bryan,Low,No
2037,Bridgewater,Low,No
2038,Ellicott City,High,No
2039,Westland,Medium,No
2040,Fort Wayne,Low,No
2041,Minnetonka,Medium,No
2042,Yorba Linda,Medium,No
2043,Beaverton,Low,Yes
2044,Walnut Creek,High,No
2045,Beaverton,NA,No
2046,Woodland,Medium,No
2047,Pasco,High,No
2048,Blacksburg,Medium,No
2049,Jupiter,Low,No
2050,Ellicott City,Low,Yes
2051,Broken Arrow,High,No
2052,Hamilton,Low,No
2053,Ames,High,No
2054,Somerville,High,No
2055,Hamilton,High,No
2056,Franconia,High,No
2057,Vacaville,Medium,No
2058,Findlay,High,No
2059,Westland,High,No
2060,Apple Valley,High,No
2061,Bloomfield,NA,Yes
2062,Chico,High,No
2063,Fort Smith,Low,No
2064,Sioux City,High,No
2065,Rockford,Low,No
2066,Pasco,Low,No
2067,Pharr,High,No
2068,Watsonville,Medium,No
2069,Eau Claire,Medium,Yes
2070,Sarasota,Low,No
2071,Wilson,High,No
2072,Athens-Clarke,Medium,No
2073,Pearland,Low,No
2074,Kendall,NA,Yes
2075,Sarasota,Low,No
2076,Saint Louis Park,Low,No
2077,Glendora,High,No
2078,Lynwood,High,No
2079,Rockford,Medium,No
2080,Bloomfield,Low,No
2081,Newport News,Low,Yes
2082,Chico,Medium,No
2083,West Orange,Low,No
2084,Blacksburg,High,No
2085,Walnut Creek,Low,No
2086,Walnut Creek,Low,No
2087,Blacksburg,High,No
2088,Chandler,Low,No
2089,San Buenaventura,Low,No
2090,San Buenaventura,High,No
2091,Bloomfield,High,No
2092,Woodland,Medium,No
2093,Findlay,Medium,No
2094,Elizabeth,Low,No
2095,Fort Worth,Low,No
2096,Overland Park,Low,Yes
2097,Hattiesburg,High,No
2098,West Orange,Medium,No
2099,Alameda,High,No
2100,Grand Island,Low,Yes
2101,Bloomfield,Medium,No
2102,Rockford,Low,Yes
2103,Westminster,Medium,No
2104,Toledo,Medium,No
2105,NA,High,No
2106,West Sacramento,High,No
2107,San Clemente,Medium,No
2108,Hamilton,Low,No
2109,Hemet,Low,Yes
2110,Blacksburg,High,No
2111,Gilbert,Low,No
2112,Waterbury,Low,No
2113,Mesa,Low,No
2114,NA,Low,Yes
2115,Kendall,Low,No
2116,Findlay,High,No
2117,Saint Louis Park,NA,No
2118,NA,Medium,No
2119,Wilkes-Barre,High,No
2120,DeKalb,Medium,No
2121,Toledo,High,No
2122,Minneapolis,Medium,No
2123,Gilbert,High,No
2124,Walnut Creek,Medium,No
2125,Florence-Graham,Medium,No
2126,Wilson,High,No
2127,NA,High,No
2128,Crystal Lake,Medium,No
2129,Minnetonka,High,No
2130,Joliet,High,No
2131,Vacaville,Medium,No
2132,Fort Wayne,High,No
2133,Sioux City,Low,No
2134,Sioux City,High,No
2135,Lynwood,Medium,No
2136,Somerville,Medium,No
2137,Wilson,Low,No
2138,Westminster,High,No
2139,Cherry Hill,Medium,No
2140,Overland Park,Low,No
2141,Wilkes-Barre,High,No
2142,Athens-Clarke,Medium,No
2143,Walnut Creek,NA,No
2144,Wilson,High,No
2145,Toledo,Low,No
2146,Boynton Beach,Medium,No
2147,Pleasanton,High,No
2148,Fort Wayne,NA,Yes
2149,Somerville,Medium,No
2150,Wilson,High,No
2151,Cary,Low,Yes
2152,Sarasota,Medium,No
2153,Athens-Clarke,High,No
2154,NA,NA,Yes
2155,Athens-Clarke,Low,Yes
2156,Racine,Low,No
2157,Topeka,Low,No
2158,Crystal Lake,Medium,No
2159,Walnut Creek,High,No
2160,Joliet,Medium,No
2161,Bellflower,Low,No
2162,Topeka,Medium,No
2163,Bellflower,High,No
2164,Wilson,High,No
2165,NA,High,No
2166,San Clemente,High,No
2167,Minneapolis,High,No
2168,Lynwood,Medium,No
2169,Fort Smith,Medium,No
2170,Salt Lake City,Medium,No
2171,Alameda,Medium,No
2172,Shelby,Low,Yes
2173,Nashua,Low,No
2174,Beaverton,Medium,No
2175,Saint Louis Park,Medium,No
2176,Wilkes-Barre,Medium,Yes
2177,Sioux City,Low,No
2178,Pleasanton,Low,No
2179,NA,Medium,No
2180,Chico,Low,Yes
2181,Shelby,Medium,No
2182,Woodland,NA,No
2183,Indio,NA,No
2184,Fort Myers,High,No
2185,Chico,High,No
2186,Garden Grove,Low,Yes
2187,Sarasota,Medium,No
2188,Pittsburgh,Low,Yes
2189,Grand Island,Low,Yes
2190,Westland,Low,No
2191,Austin,Medium,No
2192,Hemet,NA,No
2193,Eau Claire,Medium,Yes
2194,Kendall,High,No
2195,Passaic,Low,No
2196,San Buenaventura,Medium,No
2197,Ellicott City,High,No
2198,Pearland,Low,Yes
2199,Saint Louis Park,Low,No
2200,Chico,High,No
2201,NA,High,No
2202,Hemet,Medium,No
2203,Bridgewater,High,No
2204,North Bethesda,Low,No
2205,Edinburg,Low,Yes
2206,Overland Park,Low,Yes
2207,NA,Low,No
2208,Bridgewater,High,No
2209,Cherry Hill,Medium,Yes
2210,Bolingbrook,Medium,No
2211,Wheaton-Glenmont,High,No
2212,Florence-Graham,High,No
2213,Concord,Low,No
2214,Fort Worth,High,No
2215,Fort Wayne,Medium,No
2216,Woodland,High,No
2217,Detroit,Medium,No
2218,Kalamazoo,High,No
2219,Fort Myers,Low,No
2220,Kalamazoo,Low,Yes
2221,Waterbury,Medium,No
2222,Athens-Clarke,Low,Yes
2223,Topeka,Medium,No
2224,Overland Park,Low,Yes
2225,Garden Grove,Low,Yes
2226,Bryan,High,No
2227,Pharr,High,No
2228,Waterbury,NA,No
2229,Crystal Lake,Medium,No
2230,Citrus Heights,Medium,No
2231,NA,Low,No
2232,Saint Louis Park,Low,No
2233,Kalamazoo,Medium,No
2234,Edinburg,Medium,No
2235,Watsonville,High,No
2236,Minneapolis,High,No
2237,Salt Lake City,Medium,No
2238,Pocatello,Medium,No
2239,Pittsburgh,Medium,No
2240,Hoboken,Medium,No
2241,Grand Island,Low,Yes
2242,Lynwood,High,No
2243,Joliet,High,No
2244,Sioux City,Medium,Yes
2245,Austin,Low,Yes
2246,Fort Wayne,High,No
2247,Eau Claire,Low,No
2248,Hilo,Medium,No
2249,North Bethesda,Medium,No
2250,Wilkes-Barre,Low,Yes
2251,Elizabeth,Medium,No
2252,Alameda,Medium,No
2253,Detroit,Medium,No
2254,Apple Valley,High,No
2255,Chandler,Low,No
2256,Overland Park,Low,No
2257,Franconia,Medium,No
2258,Cary,Medium,Yes
2259,Westland,High,No
2260,Pearland,High,No
2261,Salt Lake City,Low,Yes
2262,NA,High,No
2263,Alameda,Low,No
2264,Grand Island,High,No
2265,Pittsburgh,Low,No
2266,Chico,Medium,No
2267,NA,Low,Yes
2268,Florence-Graham,Medium,No
2269,Westland,Low,No
2270,Indio,High,No
2271,Newport News,Medium,No
2272,Bridgewater,High,No
2273,Pearland,Low,Yes
2274,Vacaville,High,No
2275,Pleasanton,High,No
2276,Dothan,Medium,No
2277,NA,High,No
2278,Cary,Low,No
2279,Ames,Medium,No
2280,Salt Lake City,High,No
2281,Pearland,Low,No
2282,Peoria,Low,Yes
2283,Athens-Clarke,Low,Yes
2284,Yorba Linda,Low,No
2285,Sioux City,High,No
2286,Hamilton,High,No
2287,Franconia,High,No
2288,North Bethesda,High,No
2289,Topeka,High,No
2290,Austin,Low,Yes
2291,Hemet,Low,Yes
2292,Detroit,High,No
2293,Pittsburgh,Medium,Yes
2294,Pleasanton,High,No
2295,NA,Medium,No
2296,Austin,High,No
2297,Eau Claire,Low,Yes
2298,Bolingbrook,High,No
2299,Fort Smith,Medium,No
2300,Minneapolis,Medium,No
2301,Edinburg,Low,Yes
2302,Somerville,Medium,No
2303,Ames,Low,No
2304,Ames,Low,Yes
2305,Carson,Medium,No
2306,Saint Louis Park,High,No
2307,West Sacramento,Low,No
2308,Indio,High,No
2309,Pasco,Medium,No
2310,Minnetonka,High,No
2311,Newport News,Medium,No
2312,Edinburg,Medium,No
2313,Pasco,Low,Yes
2314,Chandler,Low,No
2315,Dothan,Low,No
2316,Kalamazoo,Low,Yes
2317,Haverhill,High,No
2318,Fort Myers,Medium,No
2319,Dothan,Low,No
2320,Minneapolis,High,No
2321,Beaverton,Medium,No
2322,NA,Medium,No
2323,Bridgewater,Low,No
2324,Citrus Heights,Low,No
2325,Minnetonka,Medium,No
2326,Hoboken,High,No
2327,Grand Island,Low,Yes
2328,North Bethesda,Medium,No
2329,Walnut Creek,NA,Yes
2330,Eau Claire,High,No
2331,Waterbury,Medium,No
2332,Pleasanton,Medium,No
2333,Apple Valley,High,No
2334,Findlay,Low,No
2335,Ames,High,No
2336,Fort Wayne,High,No
2337,Rockford,High,No
2338,Austin,Low,No
2339,Bolingbrook,High,No
2340,Fort Worth,Low,Yes
2341,Findlay,Low,No
2342,Cary,High,No
2343,Hamilton,Low,Yes
2344,Eau Claire,Low,No
2345,DeKalb,Medium,No
2346,Franconia,Medium,No
2347,DeKalb,Low,Yes
2348,Lynwood,High,No
2349,Walnut Creek,Low,Yes
2350,Pittsburgh,Medium,No
2351,Fort Myers,Medium,No
2352,Ellicott City,Low,No
2353,West Orange,NA,No
2354,Pharr,High,No
2355,Nashua,Low,No
2356,NA,Low,No
2357,Hemet,Medium,No
2358,Yorba Linda,NA,No
2359,Minneapolis,Medium,Yes
2360,Mansfield,Medium,No
2361,Hartford,Low,No
2362,Topeka,Medium,No
2363,Bellflower,Medium,No
2364,Battle Creek,Medium,Yes
2365,Pocatello,Medium,No
2366,Carson,High,No
2367,Pharr,Low,Yes
2368,Westland,Medium,Yes
2369,Lynwood,Medium,No
2370,Grand Island,Medium,No
2371,Pharr,High,No
2372,Hattiesburg,Low,No
2373,North Bethesda,Medium,No
2374,Pittsburgh,Medium,Yes
2375,Apple Valley,High,No
2376,Pasco,Medium,No
2377,Glendora,Low,No
2378,Sarasota,Low,No
2379,Newport News,NA,No
2380,Hemet,Medium,No
2381,Rockford,High,No
2382,Citrus Heights,High,No
2383,North Bethesda,High,No
2384,Fort Worth,High,No
2385,North Bethesda,High,No
2386,Elizabeth,Medium,No
2387,Concord,High,No
2388,Bloomfield,Low,No
2389,Cherry Hill,High,No
2390,Detroit,Medium,No
2391,Bloomfield,High,No
2392,Turlock,Low,No
2393,Bellflower,High,No
2394,Carson,Medium,No
2395,Jupiter,High,No
2396,Pocatello,Medium,Yes
2397,Bryan,Low,Yes
2398,Glendora,Low,No
2399,Concord,Low,No
2400,Westland,Low,Yes
2401,Fort Worth,Low,No
2402,Joliet,High,No
2403,Pleasanton,Low,Yes
2404,Hoboken,Medium,No
2405,Sioux City,High,No
2406,Dothan,High,No
2407,NA,High,No
2408,Vacaville,Medium,No
2409,San Buenaventura,High,No
2410,Woodland,Low,No
2411,Garden Grove,Medium,Yes
2412,Ellicott City,Low,No
2413,Pleasanton,Medium,Yes
2414,Pearland,Medium,No
2415,Haverhill,Medium,No
2416,Carson,Low,Yes
2417,Crystal Lake,Low,Yes
2418,Citrus Heights,High,No
2419,Wheaton-Glenmont,Medium,No
2420,Broken Arrow,Medium,No
2421,San Buenaventura,Low,No
2422,Montgomery Village,Medium,No
2423,DeKalb,High,No
2424,Waterbury,High,No
2425,Edinburg,High,No
2426,NA,Low,No
2427,Wilkes-Barre,High,No
2428,Hoboken,High,No
2429,Concord,Low,No
2430,Elizabeth,Medium,No
2431,Detroit,Low,Yes
2432,Chandler,Low,Yes
2433,Vacaville,High,No
2434,Nashua,Medium,Yes
2435,Chico,High,No
2436,Minneapolis,Medium,No
2437,Westland,Medium,Yes
2438,Hartford,Low,Yes
2439,San Clemente,Low,No
2440,Turlock,High,No
2441,Crystal Lake,High,No
2442,NA,Low,Yes
2443,Concord,Medium,No
2444,Dothan,High,No
2445,Rockford,Medium,No
2446,Lynwood,High,No
2447,Ellicott City,Medium,No
2448,Sioux City,High,No
2449,Bridgewater,Medium,No
2450,West Sacramento,Medium,No
2451,Mansfield,Medium,No
2452,Battle Creek,High,No
2453,NA,NA,No
2454,Gilbert,High,No
2455,Hoboken,High,No
2456,Rockford,Medium,No
2457,Haverhill,Medium,No
2458,Toledo,Low,Yes
2459,Charleston,Medium,No
2460,Wilson,Low,Yes
2461,Battle Creek,Low,No
2462,Austin,Low,No
2463,Somerville,Medium,No
2464,Nashua,Low,Yes
2465,Shelby,High,No
2466,Haverhill,Low,No
2467,Athens-Clarke,High,No
2468,Watsonville,Medium,No
2469,Franconia,Low,Yes
2470,Passaic,Low,No
2471,Austin,Medium,No
2472,Peoria,Low,No
2473,Findlay,High,No
2474,Joliet,High,No
2475,Hoboken,High,No
2476,Bryan,Medium,Yes
2477,Nashua,High,No
2478,Carson,Low,Yes
2479,Haverhill,Low,No
2480,Sioux City,Medium,No
2481,Battle Creek,Low,Yes
2482,NA,Low,No
2483,San Buenaventura,High,No
2484,Glendora,Medium,No
2485,Alameda,Medium,Yes
2486,Passaic,Low,No
2487,NA,Low,No
2488,Fort Worth,Low,Yes
2489,Elizabeth,Low,No
2490,Wilkes-Barre,Low,No
2491,Garden Grove,High,No
2492,Blacksburg,Low,No
2493,Franconia,Medium,No
2494,Dothan,Medium,No
2495,Topeka,High,No
2496,Bellflower,Medium,No
2497,Vacaville,Medium,No
2498,Jupiter,Low,No
2499,Vacaville,High,No
2500,Hattiesburg,Medium,No
2501,Ellicott City,NA,No
2502,Gilbert,High,No
2503,Peoria,Low,No
2504,Minneapolis,Low,No
2505,Wheaton-Glenmont,Low,Yes
2506,San Clemente,Low,No
2507,Athens-Clarke,Medium,No
2508,Cary,Low,No
2509,Concord,High,No
2510,Somerville,Medium,No
2511,Austin,Low,No
2512,Nashua,Medium,No
2513,Walnut Creek,High,No
2514,Findlay,Medium,No
2515,NA,Low,No
2516,Topeka,High,No
2517,Rockford,Low,No
2518,Crystal Lake,Medium,No
2519,Wilson,Medium,No
2520,Hartford,High,No
2521,Cary,Medium,Yes
2522,Ellicott City,High,No
2523,Hartford,Low,No
2524,Somerville,Low,No
2525,Waterbury,Medium,No
2526,NA,Medium,No
2527,Fort Myers,Low,No
2528,Ellicott City,Medium,No
2529,Wilson,Medium,No
2530,Bloomfield,High,No
2531,Crystal Lake,Low,No
2532,Pasco,Medium,No
2533,Westminster,Medium,No
2534,Hemet,Low,No
2535,Mesa,High,No
2536,Cherry Hill,Low,Yes
2537,Pleasanton,Medium,No
2538,Alameda,Low,Yes
2539,Glendora,High,No
2540,San Clemente,Low,Yes
2541,Citrus Heights,Low,No
2542,Boynton Beach,High,No
2543,Pearland,Low,No
2544,Newport News,Medium,No
2545,Kendall,NA,No
2546,Beaverton,Medium,No
2547,Grand Island,Medium,No
2548,Battle Creek,High,No
2549,Turlock,High,No
2550,Franconia,Low,No
2551,Kendall,Low,No
2552,Montgomery Village,Medium,No
2553,Peoria,Medium,No
2554,Walnut Creek,Medium,Yes
2555,Newport News,Low,No
2556,Overland Park,Low,No
2557,Toledo,Low,No
2558,Bolingbrook,NA,Yes
2559,Bridgewater,Low,No
2560,Gilbert,High,No
2561,Topeka,High,No
2562,Cherry Hill,Low,No
2563,Passaic,High,No
2564,North Bethesda,High,No
2565,Pearland,Medium,No
2566,Turlock,High,No
2567,Eau Claire,Low,No
2568,Toledo,Low,No
2569,Gilbert,Medium,No
2570,Concord,NA,No
2571,Racine,High,No
2572,Salt Lake City,High,No
2573,Austin,Medium,No
2574,NA,NA,Yes
2575,Vacaville,High,No
2576,Haverhill,Medium,No
2577,Mesa,High,No
2578,Eau Claire,NA,No
2579,Hemet,High,No
2580,Hemet,High,No
2581,Pocatello,Medium,No
2582,Fond du Lac,NA,Yes
2583,Cary,Low,Yes
2584,Waterbury,High,No
2585,Watsonville,Low,No
2586,Yorba Linda,Low,No
2587,Ames,High,No
2588,Jupiter,Low,No
2589,Ellicott City,Low,No
2590,Salt Lake City,High,No
2591,Ellicott City,High,No
2592,Broken Arrow,Low,No
2593,Waterbury,Low,Yes
2594,Fort Myers,High,No
2595,West Orange,Medium,No
2596,Citrus Heights,Low,No
2597,Ames,Medium,No
2598,Haverhill,High,No
2599,Nashua,Low,No
2600,Fort Worth,High,Yes
2601,Nashua,Medium,No
2602,Hemet,Medium,No
2603,Edinburg,Medium,No
2604,Apple Valley,Medium,No
2605,Pocatello,Low,No
2606,Haverhill,Low,Yes
2607,Wilkes-Barre,High,No
2608,Mansfield,Medium,No
2609,Fond du Lac,Low,No
2610,NA,Medium,No
2611,Findlay,High,No
2612,Bloomfield,Medium,No
2613,Pittsburgh,Medium,No
2614,NA,Medium,No
2615,Westland,High,No
2616,Chico,High,No
2617,Topeka,Low,No
2618,NA,Low,Yes
2619,DeKalb,High,No
2620,Jupiter,Low,No
2621,Minneapolis,High,No
2622,Bellflower,High,No
2623,Indio,Medium,No
2624,NA,Medium,No
2625,Crystal Lake,Medium,No
2626,Pleasanton,Medium,No
2627,Waterbury,Low,No
2628,Vacaville,Low,Yes
2629,Pharr,Medium,No
2630,Saint Louis Park,Medium,No
2631,NA,Low,Yes
2632,Pittsburgh,Low,Yes
2633,Bridgewater,Low,No
2634,Elizabeth,Medium,No
2635,Westminster,NA,No
2636,Lynwood,Low,Yes
2637,Pearland,Low,Yes
2638,Austin,NA,Yes
2639,Franconia,Medium,No
2640,Passaic,NA,No
2641,Detroit,Low,No
2642,Blacksburg,High,No
2643,NA,Medium,Yes
2644,Kalamazoo,Low,Yes
2645,Crystal Lake,Medium,No
2646,Lynwood,Medium,Yes
2647,Waterbury,High,No
2648,Alameda,Low,Yes
2649,Waterbury,Medium,No
2650,Newport News,Low,Yes
2651,Yorba Linda,High,No
2652,Apple Valley,Low,Yes
2653,Hoboken,High,No
2654,Walnut Creek,High,No
2655,NA,Medium,No
2656,Austin,Medium,No
2657,Bridgewater,High,No
2658,San Clemente,High,No
2659,Kalamazoo,Low,No
2660,Bellflower,Low,Yes
2661,Elizabeth,Low,No
2662,Detroit,Medium,No
2663,Glendora,Low,Yes
2664,Mansfield,High,No
2665,Bellflower,Medium,No
2666,Chico,High,No
2667,Charleston,Medium,No
2668,Fort Wayne,Low,No
2669,Bryan,Medium,No
2670,West Sacramento,Low,No
2671,Eau Claire,Medium,No
2672,Fort Worth,High,No
2673,NA,Medium,No
2674,Kendall,High,No
2675,Cary,High,No
2676,Sarasota,High,No
2677,Crystal Lake,Low,No
2678,Fort Worth,Medium,No
2679,NA,High,No
2680,Pittsburgh,Medium,Yes
2681,Peoria,Low,Yes
2682,Fort Myers,Low,No
2683,Ellicott City,Low,No
2684,Hamilton,Medium,No
2685,Detroit,High,No
2686,Bolingbrook,High,No
2687,Pittsburgh,High,Yes
2688,Yorba Linda,Medium,No
2689,Toledo,High,No
2690,NA,NA,No
2691,Jupiter,High,No
2692,Pearland,High,No
2693,Austin,High,No
2694,Hoboken,Medium,No
2695,Haverhill,Medium,No
2696,Newport News,Medium,No
2697,Lynwood,High,No
2698,Charleston,Low,No
2699,Athens-Clarke,Low,No
2700,Bridgewater,High,No
2701,Pleasanton,High,No
2702,Fort Worth,Low,No
2703,Watsonville,High,No
2704,Hoboken,Medium,Yes
2705,DeKalb,Low,Yes
2706,Fort Smith,High,No
2707,Shelby,Medium,No
2708,Concord,High,No
2709,Pittsburgh,NA,No
2710,Toledo,Low,No
2711,Bellflower,Medium,No
2712,Hilo,Low,No
2713,Minneapolis,High,No
2714,Vacaville,High,No
2715,Crystal Lake,Medium,No
2716,San Buenaventura,High,No
2717,Garden Grove,Medium,No
2718,Pharr,Medium,No
2719,Alameda,Low,No
2720,Ames,Medium,No
2721,Fort Smith,Low,No
2722,Broken Arrow,High,No
2723,Kalamazoo,NA,Yes
2724,Apple Valley,Low,No
2725,Crystal Lake,High,No
2726,Blacksburg,High,No
2727,Walnut Creek,Medium,No
2728,Hemet,Medium,No
2729,Peoria,Medium,No
2730,Cary,High,No
2731,Passaic,Medium,No
2732,Mansfield,NA,No
2733,Somerville,Low,No
2734,Fond du Lac,High,No
2735,Topeka,NA,No
2736,Chandler,Low,Yes
2737,Chandler,Medium,No
2738,Kendall,Low,No
2739,Fort Wayne,Medium,No
2740,Hattiesburg,Medium,No
2741,Sioux City,High,No
2742,Florence-Graham,High,No
2743,Saint Louis Park,Medium,No
2744,Minnetonka,Medium,No
2745,Peoria,Low,No
2746,Newport News,Medium,No
2747,Lynwood,Low,No
2748,Florence-Graham,Medium,No
2749,Pearland,High,No
2750,Racine,Low,No
2751,Hamilton,NA,Yes
2752,Joliet,Low,No
2753,Yorba Linda,High,No
2754,Overland Park,Low,Yes
2755,Dothan,Medium,No
2756,Woodland,Medium,No
2757,Kendall,Low,No
2758,Boynton Beach,Medium,No
2759,Apple Valley,High,No
2760,Somerville,Low,No
2761,NA,High,No
2762,Ames,Low,Yes
2763,Athens-Clarke,Medium,No
2764,Mansfield,Low,No
2765,Bryan,Low,No
2766,Hemet,NA,Yes
2767,Alameda,High,No
2768,Bridgewater,High,No
2769,Woodland,Medium,No
2770,Charleston,Medium,No
2771,Apple Valley,Low,No
2772,NA,High,No
2773,Rockford,Medium,No
2774,Montgomery Village,Medium,No
2775,NA,High,No
2776,Sioux City,Low,Yes
2777,Westland,Low,Yes
2778,Blacksburg,Low,No
2779,Eau Claire,High,No
2780,Turlock,Medium,No
2781,Peoria,High,No
2782,Pharr,Medium,No
2783,Rockford,Low,Yes
2784,Edinburg,High,No
2785,NA,Low,No
2786,Cherry Hill,High,No
2787,Jupiter,Low,Yes
2788,Hoboken,Medium,No
2789,North Bethesda,High,No
2790,Austin,Low,Yes
2791,Boynton Beach,Low,Yes
2792,Turlock,High,No
2793,Pasco,High,No
2794,San Buenaventura,Medium,No
2795,Charleston,High,No
2796,Jupiter,Low,No
2797,Hoboken,High,No
2798,Edinburg,Medium,No
2799,DeKalb,Medium,No
2800,NA,High,No
2801,Jupiter,Low,Yes
2802,Pasco,Low,No
2803,Westminster,Medium,No
2804,Grand Island,High,Yes
2805,Westminster,Low,No
2806,Salt Lake City,High,No
2807,Pharr,Low,Yes
2808,Crystal Lake,Low,No
2809,Alameda,Medium,No
2810,Fort Worth,High,No
2811,Racine,High,No
2812,Charleston,Low,No
2813,Carson,High,No
2814,Racine,Low,No
2815,Topeka,Low,No
2816,Peoria,Medium,No
2817,Chico,Medium,No
2818,Racine,Low,No
2819,Broken Arrow,High,No
2820,Hemet,Low,No
2821,Cherry Hill,Low,No
2822,Mesa,Medium,No
2823,Hoboken,Medium,No
2824,Lynwood,Medium,Yes
2825,Edinburg,Medium,No
2826,Detroit,Low,No
2827,Lynwood,Low,No
2828,Topeka,Low,No
2829,Peoria,Low,No
2830,Hoboken,Medium,No
2831,Woodland,Low,No
2832,NA,Low,No
2833,NA,Low,No
2834,Glendora,High,No
2835,Yonkers,High,No
2836,Hoboken,High,No
2837,Lynwood,Low,No
2838,Yorba Linda,High,No
2839,Concord,Low,No
2840,Rockford,Low,No
2841,Pasco,NA,No
2842,Westminster,High,No
2843,Dothan,High,No
2844,Cherry Hill,High,No
2845,Mansfield,Low,No
2846,Kendall,Low,No
2847,Ames,Low,No
2848,Dothan,High,No
2849,NA,High,No
2850,Overland Park,Low,No
2851,Bolingbrook,Low,No
2852,Alameda,High,No
2853,Fort Wayne,High,No
2854,Vacaville,Medium,No
2855,Pleasanton,Medium,No
2856,Jupiter,Low,No
2857,Turlock,Low,No
2858,Woodland,Low,Yes
2859,Pocatello,Low,No
2860,Wilkes-Barre,High,No
2861,Dothan,Medium,No
2862,Fort Smith,Medium,Yes
2863,Kendall,High,No
2864,Minnetonka,High,No
2865,Lynwood,High,No
2866,Bloomfield,High,No
2867,Hemet,NA,No
2868,Minnetonka,High,No
2869,NA,NA,Yes
2870,Fort Worth,Medium,No
2871,Crystal Lake,Medium,Yes
2872,Ellicott City,Low,No
2873,Newport News,Medium,No
2874,Pearland,Medium,No
2875,Battle Creek,Medium,No
2876,Watsonville,Medium,No
2877,Pasco,Medium,No
2878,Minnetonka,Medium,No
2879,Turlock,High,No
2880,Rockford,Low,No
2881,Pleasanton,Medium,No
2882,Mansfield,Low,No
2883,Bloomfield,Low,Yes
2884,Dothan,Medium,Yes
2885,Chico,High,No
2886,Broken Arrow,Medium,No
2887,Montgomery Village,High,No
2888,Wilkes-Barre,High,No
2889,Wheaton-Glenmont,Low,No
2890,Watsonville,Medium,No
2891,Haverhill,Low,Yes
2892,Bolingbrook,High,No
2893,Mesa,Medium,No
2894,Hattiesburg,High,No
2895,Carson,Medium,No
2896,Pasco,Medium,No
2897,Yorba Linda,Medium,No
2898,NA,Medium,No
2899,Findlay,High,No
2900,Fort Myers,High,No
2901,Pharr,High,No
2902,Montgomery Village,Low,No
2903,Cherry Hill,NA,Yes
2904,Yonkers,Low,No
2905,Minneapolis,High,No
2906,Minneapolis,Low,Yes
2907,Rockford,Low,No
2908,Beaverton,High,Yes
2909,Carson,Medium,No
2910,Kalamazoo,Low,Yes
2911,Peoria,Medium,No
2912,Fort Wayne,High,No
2913,Citrus Heights,High,No
2914,Passaic,High,No
2915,Kendall,Medium,No
2916,Glendora,High,No
2917,Pleasanton,Medium,No
2918,Austin,Medium,No
2919,West Sacramento,High,No
2920,Elizabeth,Medium,No
2921,Hilo,Medium,No
2922,Toledo,Low,No
2923,NA,High,No
2924,Hoboken,Low,Yes
2925,Peoria,Medium,No
2926,Nashua,Medium,No
2927,Blacksburg,Medium,No
2928,Apple Valley,Low,No
2929,Austin,Medium,No
2930,Cherry Hill,NA,Yes
2931,Racine,Medium,No
2932,Minnetonka,High,No
2933,Westminster,Low,No
2934,Elizabeth,High,No
2935,Crystal Lake,Medium,No
2936,Dothan,Medium,Yes
2937,Battle Creek,Low,Yes
2938,Gilbert,Low,Yes
2939,Kalamazoo,Medium,No
2940,Gilbert,Low,Yes
2941,Peoria,Medium,Yes
2942,Vacaville,Medium,No
2943,Elizabeth,High,No
2944,Bellflower,High,No
2945,Wilson,Low,No
2946,Peoria,Medium,No
2947,West Sacramento,High,No
2948,Findlay,NA,Yes
2949,Jupiter,Medium,No
2950,Hilo,Medium,No
2951,Turlock,Medium,No
2952,Nashua,Medium,Yes
2953,Pocatello,Low,No
2954,Newport News,Medium,No
2955,Hartford,Low,Yes
2956,Hilo,Medium,No
2957,Mesa,Low,No
2958,Vacaville,Medium,No
2959,Cary,High,No
2960,Minneapolis,Medium,No
2961,Passaic,Medium,No
2962,Vacaville,Low,Yes
2963,Sarasota,High,No
2964,Detroit,Medium,No
2965,NA,Medium,No
2966,Charleston,Low,Yes
2967,Pasco,High,No
2968,Shelby,Medium,No
2969,Ellicott City,Low,No
2970,Nashua,Low,No
2971,Vacaville,NA,No
2972,Beaverton,Medium,No
2973,Eau Claire,Low,Yes
2974,Austin,High,No
2975,Yorba Linda,Medium,No
2976,Franconia,Low,Yes
2977,Fort Myers,Low,Yes
2978,Boynton Beach,High,No
2979,Hilo,Low,No
2980,Mansfield,Low,No
2981,Athens-Clarke,High,No
2982,Overland Park,Low,Yes
2983,Haverhill,High,No
2984,Lynwood,Low,Yes
2985,Hattiesburg,Low,Yes
2986,Pocatello,Low,No
2987,West Orange,High,No
2988,Bolingbrook,Medium,No
2989,Watsonville,Medium,No
2990,Passaic,Medium,No
2991,Ellicott City,NA,No
2992,Indio,Low,No
2993,Sarasota,Low,Yes
2994,Mesa,High,No
2995,Pleasanton,Low,No
2996,Broken Arrow,Medium,No
2997,Hoboken,High,No
2998,NA,Low,No
2999,Pharr,Low,Yes
3000,Hemet,High,No
3001,Waterbury,Low,No
3002,Franconia,NA,No
3003,Bryan,High,No
3004,NA,High,No
